id,talhao_id,safra_id,area,variedade,qtde_plantas,porta_enxerto,data_de_plantio,idade,falhas,esp,obs,ativo
knhoc8ix5,kcqabs0u4,6u9kuo79h,0 ha,,,,,,,0,,1
u2ewi47zu,8djfcomqw,6u9kuo79h,0 ha,,,,,,,0,,1
aa25c5nwc,53zauawf9,6u9kuo79h,5.22 ha,VALENCIA,2660,CR,2008-01-01,17,,,,1
4qxi02am5,xzpyqfsxz,6u9kuo79h,6.71 ha,VALENCIA,3357,CR,2008-01-01,17,,,,1
jgreweiym,9wgqrqgjh,6u9kuo79h,0.82 ha,VALENCIA,424,SW,2008-01-01,17,,,,1
pakz8rwrp,k2tuf9x4v,6u9kuo79h,3.64 ha,VALENCIA,1824,CR,2008-01-01,17,233,"2,6 x 7",,1
2b2785kgl,di4obkt2u,6u9kuo79h,3.82 ha,VALENCIA,1944,CR,2008-01-01,17,238,"2,6 x 7",,1
aoigny62i,5qdvu1io8,6u9kuo79h,4 ha,VALENCIA,,,,,,0,,1
g42zk0d8b,uk2uximsq,6u9kuo79h,14.66 ha,HAMLIN,,CITROMELO SWINGUE,2025-05-09,,,0,,1
t1k8pze44,28gj0ajjf,6u9kuo79h,13.77 ha,VAZIO,,,,,,0,,1
y1slu8iyn,c8msl54l6,6u9kuo79h,4.71 ha,HAMLIN,2378,,,,,0,,1
ysmryui4h,az2lwmuev,6u9kuo79h,3.19 ha,VAZIO,,,,,,0,,1
7g3git68r,pwmfkfojv,6u9kuo79h,5.79 ha,VALENCIA AMERICANA,3492,,,,,0,,1
4cfk8fypi,f4y2oq8j0,6u9kuo79h,5.5 ha,HAMLIN,4301,,,,,0,,1
pbweh21pg,nqdd5l182,6u9kuo79h,3.53 ha,VAZIO,,,,,,0,,1
ko4lk1btc,cicq7s3ot,6u9kuo79h,4.59 ha,VALENCIA AMERICANA,2653,,,,,0,,1
hp2e37mcg,dln3mwe3c,6u9kuo79h,8.68 ha,VALENCIA,3884,,,,,0,,1
m762no0tu,k2yg3xhvx,6u9kuo79h,5.92 ha,VALENCIA AMERICANA,3469,,,,,0,,1
z3b18b9pv,katzdli0m,6u9kuo79h,5.52 ha,HAMLIN,1425,SW,2004-01-01,21,549,4 X 7,,1
nt3qevcgh,hpg7uuyc3,6u9kuo79h,9.09 ha,VAZIO,,,,,,0,,1
s6uhy7ia7,1b860f3zq,6u9kuo79h,8.99 ha,VALENCIA AMERICANA,5329,,,,,0,,1
64hwys0a7,ic09y0i5d,6u9kuo79h,1.26 ha,VAZIO,,,,,,0,,1
2o7i0oa5q,l7jwxi6ax,6u9kuo79h,5.79 ha,PERA RIO,3479,CR,2017-01-01,8,231,"2,5 x 6,5",,1
3bjj6bidq,ftyteyb2l,6u9kuo79h,6.22 ha,PERA RIO,3337,CR,2017-01-01,8,354,"2,5 x 6,5",,1
bblno2fs2,eqlhwer49,6u9kuo79h,6.45 ha,VALENCIA,3497,,,,,0,,1
o7xdwkjj8,qr9qki8ki,6u9kuo79h,4.73 ha,VALENCIA,2638,SW,2017-01-01,8,42,"2,5 x 6,5",,1
8q52c99uf,5zwt78c1o,6u9kuo79h,7.17 ha,PERA RIO,3028,CR,2017-01-01,8,412,"2,5 x 6,5",,1
69jb0s8td,x9h8vsoon,6u9kuo79h,6.23 ha,PERA RIO,3622,CR,2017-01-01,8,600,"2,5 x 6,5",,1
