id,TalhaoID,TIPO,NOME,AREA,VARIEDADE,PORTAENXERTO,DATA_DE_PLANTIO,IDADE,PRODUCAO_CAIXA,PRODUCAO_HECTARE,COR,qtde_plantas,coordinates
kcqabs0u4,SEDE,Talhao,SEDE,0 ha,,,,0,0,0,#00FF00,0,"[[[-47.22203894309027,-22.1191177055616,0],[-47.22376359343465,-22.11848699957902,0],[-47.22396338666043,-22.11879149931732,0],[-47.22401376299385,-22.11924413925887,0],[-47.22210688627622,-22.11987994397705,0],[-47.22197302747158,-22.11962067796044,0],[-47.22203894309027,-22.1191177055616,0]]]"
8djfcomqw,COLONIA,Talhao,COLONIA,0 ha,,,,0,0,0,#00FF00,0,"[[[-47.22421123009461,-22.1193082962705,0],[-47.22422966334648,-22.11939462261148,0],[-47.22417582982148,-22.11950536614265,0],[-47.22409898990253,-22.11959901066855,0],[-47.22397727531167,-22.11965950210039,0],[-47.22384621409369,-22.11972400102448,0],[-47.22371907139613,-22.11972828204481,0],[-47.22355412562631,-22.1198405559333,0],[-47.22365040290714,-22.12021026933555,0],[-47.2219546796241,-22.12094193598321,0],[-47.2218150140544,-22.12112663543796,0],[-47.21938705644234,-22.12142156844198,0],[-47.21942613845729,-22.12156648172875,0],[-47.21937803546126,-22.1216094617273,0],[-47.21935703669606,-22.12163730193913,0],[-47.21934327494846,-22.12165140604118,0],[-47.21929553147024,-22.12168194295183,0],[-47.21927452395128,-22.12170389532621,0],[-47.21924081903392,-22.12172602998377,0],[-47.21922701343472,-22.1217403722106,0],[-47.21919331256852,-22.1217626484728,0],[-47.21916583419446,-22.12179122282654,0],[-47.2191387943728,-22.12181298313487,0],[-47.2191050027336,-22.12184178416129,0],[-47.21907811372733,-22.12186342104582,0],[-47.21905838538112,-22.12187126765546,0],[-47.21904482709742,-22.12188539223796,0],[-47.21901867851902,-22.12189360697188,0],[-47.21897964066056,-22.12190258776867,0],[-47.21894736430558,-22.1219045208402,0],[-47.21891509244535,-22.12190645419025,0],[-47.21889573089498,-22.12190761379139,0],[-47.21886322499419,-22.12191619627511,0],[-47.21883719503396,-22.12192438467723,0],[-47.2188114086291,-22.12192592927035,0],[-47.2187787638414,-22.12194112654867,0],[-47.21876588312756,-22.1219418972708,0],[-47.21873368327206,-22.12194382414623,0],[-47.21869470015612,-22.12195937715951,0],[-47.21867523366927,-22.12196714409554,0],[-47.2186429289417,-22.12197567267796,0],[-47.21861051127408,-22.12199078825098,0],[-47.21858456367984,-22.1220054955659,0],[-47.21855878032348,-22.12201360602214,0],[-47.21851995410855,-22.12201689828736,0],[-47.21849403458603,-22.12201924389693,0],[-47.21846165730793,-22.12202217329751,0],[-47.21841637029214,-22.12202627112007,0],[-47.21838405139776,-22.12202919520529,0],[-47.21835812438343,-22.12204463598565,0],[-47.21831939805103,-22.1220546711505,0],[-47.21830004794966,-22.1220629479142,0],[-47.2182614944414,-22.12206621695735,0],[-47.21823590814261,-22.1220680229901,0],[-47.21821032901461,-22.12206982787906,0],[-47.21817197392144,-22.12207253494066,0],[-47.21814634709219,-22.12206793715568,0],[-47.21810800571849,-22.12207064471474,0],[-47.21808245295356,-22.12207244912488,0],[-47.21805042393791,-22.12206830303858,0],[-47.21803126475628,-22.1220696567959,0],[-47.21799934111776,-22.12207191209304,0],[-47.2179674291233,-22.12207416655541,0],[-47.21794190726398,-22.12207596969257,0],[-47.21791624691044,-22.12207137503605,0],[-47.21789026687364,-22.12205396549353,0],[-47.21787686093786,-22.12202919271503,0],[-47.21787574084863,-22.12198408524322,0],[-47.21788135723736,-22.12195127317445,0],[-47.21788088070441,-22.12193180458146,0],[-47.21789939994519,-22.12189788317891,0],[-47.21790523677527,-22.12187130308817,0],[-47.21790447994326,-22.12183855104621,0],[-47.21790402478263,-22.12181884438197,0],[-47.21789663145559,-22.1217797747388,0],[-47.21789554520976,-22.12173343766225,0],[-47.21790778912293,-22.12169921453984,0],[-47.21790726352081,-22.12167198454359,0],[-47.21791990097731,-22.12165068843784,0],[-47.21794468860713,-22.12159643163862,0],[-47.21796370445747,-22.12156859733549,0],[-47.21798227902064,-22.12152106203688,0],[-47.21800109737322,-22.12147988520939,0],[-47.218013527854,-22.12144575295828,0],[-47.21803292728967,-22.12142411664104,0],[-47.21803940337065,-22.1214168939539,0],[-47.21807849557542,-22.12138008350019,0],[-47.21809178127652,-22.12137884711523,0],[-47.22025811065578,-22.12059751683253,0],[-47.22214562889493,-22.11994570745987,0],[-47.22415490167181,-22.11927753057004,0],[-47.22421123009461,-22.1193082962705,0]]]"
53zauawf9,TALHAO_1,TALHAO,17C,5.22 ha,VALENCIA,,,0,,,#fbff00,2660,"[[[-47.2587995401871,-22.12323674072775,0],[-47.25878913477683,-22.12345000463449,0],[-47.25874152066511,-22.12381339480535,0],[-47.25857933469224,-22.12418679395166,0],[-47.25834341317915,-22.12461309144955,0],[-47.25788640020673,-22.12494028242315,0],[-47.25759960921112,-22.12517872514978,0],[-47.25731566358796,-22.12537295940224,0],[-47.25602312242485,-22.12592429414083,0],[-47.25552664833855,-22.12595924196727,0],[-47.25493704418482,-22.12501351490437,0],[-47.2587995401871,-22.12323674072775,0]]]"
xzpyqfsxz,TALHAO_2,TALHAO,17D,6.71 ha,VALENCIA,,2025-01-01,0,,,#fbff00,3357,"[[[-47.25493058395933,-22.1250011592485,0],[-47.25415810404513,-22.12483578301592,0],[-47.25367170169994,-22.12390955222644,0],[-47.25471279356749,-22.12343601067746,0],[-47.25596167379964,-22.12303552975252,0],[-47.25675451399509,-22.12276482074317,0],[-47.25735430228279,-22.12256015457364,0],[-47.25835574740231,-22.12228263431186,0],[-47.25862276827434,-22.12276694376138,0],[-47.25879096558383,-22.12301240163952,0],[-47.2587865560076,-22.12320711072875,0],[-47.25493058395933,-22.1250011592485,0]]]"
9wgqrqgjh,TALHAO 3,TALHAO,17F,0.8 ha,VALENCIA,,,,,,#fbff00,424,"[[[-47.25409065354567,-22.12480285868124,0],[-47.25205207967267,-22.12432255514697,0],[-47.25363605478632,-22.12391705832952,0],[-47.25409065354567,-22.12480285868124,0]]]"
k2tuf9x4v,TALHAO_4,TALHAO,17B,3.64 ha,VALENCIA,,,,,,#fbff00,1824,"[[[-47.25555624614525,-22.12602710416338,0],[-47.2555397820759,-22.12599538156253,0],[-47.2555013262633,-22.12599454638815,0],[-47.25296270204733,-22.12735007251909,0],[-47.25226025944878,-22.12621842115457,0],[-47.25491512132427,-22.12502289211726,0],[-47.25555624614525,-22.12602710416338,0]]]"
di4obkt2u,TALHAO_5,APP,17A,3.82 ha,VALENCIA,,,0,0,0,#fbff00,0,"[[[-47.25487550851324,-22.12502188247195,0],[-47.25222755288606,-22.12620727465846,0],[-47.25100549248526,-22.12417798463413,0],[-47.2520322609409,-22.12431686415494,0],[-47.25446473100858,-22.12491226542901,0],[-47.25487550851324,-22.12502188247195,0]]]"
5qdvu1io8,TALHAO_6,TALHAO,17E,4 ha,VALENCIA,,,0,0,0,#fbff00,0,"[[[-47.25223267678954,-22.12625308579309,0],[-47.25300701035069,-22.12743715597717,0],[-47.25182813363213,-22.12826495080947,0],[-47.25180384259822,-22.12832090535062,0],[-47.24940761672626,-22.12757196011555,0],[-47.24964566281187,-22.12744259907702,0],[-47.25223267678954,-22.12625308579309,0]]]"
uk2uximsq,TALHAO_7,Talhao,15A,14.66 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.25219463519814,-22.12621453889567,0],[-47.24951086034419,-22.12745219555981,0],[-47.24941004432491,-22.127409711902,0],[-47.24650541075813,-22.12231740093231,0],[-47.24757561207385,-22.12176358753395,0],[-47.24784491777505,-22.12214774280239,0],[-47.24825240036148,-22.12286599021739,0],[-47.24890887057908,-22.12338288517525,0],[-47.24949222526885,-22.1236825507602,0],[-47.2500765421875,-22.12402299982485,0],[-47.25052229054295,-22.12421801056874,0],[-47.25087611736273,-22.1243063584729,0],[-47.25097353693256,-22.12419311970701,0],[-47.25219463519814,-22.12621453889567,0]]]"
28gj0ajjf,TALHAO_8,TALHAO,15B,13.77 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.24946710507702,-22.12746887734682,0],[-47.249332511735,-22.12755005052963,0],[-47.24419677097821,-22.12595863046857,0],[-47.24422559383358,-22.12576018355413,0],[-47.24420962600617,-22.12549771958883,0],[-47.24426471047434,-22.12527959556576,0],[-47.2446164070671,-22.12508061823767,0],[-47.24473529993266,-22.12476224238138,0],[-47.24487537995498,-22.12415827494406,0],[-47.24495180274647,-22.12384998780914,0],[-47.24504930426826,-22.12353358619733,0],[-47.24526870204106,-22.12317781001546,0],[-47.24552189148161,-22.1228784913196,0],[-47.24594776851799,-22.12276426905622,0],[-47.24610982965194,-22.1225470645945,0],[-47.24628627366514,-22.12230098533603,0],[-47.24643477709408,-22.12227963534239,0],[-47.24946710507702,-22.12746887734682,0]]]"
